Country,Cases,Deaths,Recoveries,Death Rate,Recovery Rate
World,53693587,1307501,34583152,0.02435115761589927,0.6440834731343242
United States,10917454,248483,5909053,0.022760160015329583,0.5412482617284213
India,8773479,129188,8163572,0.01472483150640698,0.9304828791406465
Brazil,5815227,164979,5267567,0.028370173683675632,0.9058231088829378
France,1954599,44246,139140,0.022636868227191357,0.07118595681262499
Russia,1903253,32834,1425529,0.017251516219861467,0.7489960609545867
Spain,1458591,40769,,0.027950947181218037,
United Kingdom,1344356,51766,,0.0385061694967702,
Argentina,1296365,35045,1110464,0.027033281521793632,0.8565982574352131
Colombia,1182697,33669,1089340,0.02846798461482527,0.9210643131757331
Italy,1144552,44683,411434,0.03903972908177173,0.3594716535378034
Mexico,997393,97624,741340,0.09787917099879385,0.743277725029151
Peru,932650,35106,858388,0.03764113011311853,0.9203752747547311
Germany,787873,12610,493065,0.01600511757605604,0.6258178665850969
Iran,749525,41034,552747,0.054746672892832124,0.7374630599379607
South Africa,746945,20153,692177,0.02698056751166418,0.926677332333706
Poland,691118,10045,282215,0.014534421039533046,0.4083456081305942
Chile,528030,14738,503540,0.027911292918962938,0.9536200594663182
Ukraine,525176,9508,238811,0.018104406903590414,0.4547256538760339
Belgium,525012,14106,,0.026867957303833054,
Iraq,516915,11623,444226,0.02248532157124479,0.859379201609549
Indonesia,463007,15148,388094,0.032716568000051835,0.8382033101011431
Czech Republic,456117,6005,316523,0.013165481663695938,0.6939513326624528
Netherlands,442458,8443,,0.019082037165109457,
Bangladesh,430496,6173,347849,0.014339273767932804,0.8080191221288932
Turkey,411055,11418,351102,0.027777304740241572,0.8541484716157205
Philippines,406337,7791,363068,0.019173740023674928,0.8935144965878077
Pakistan,354461,7109,322414,0.020055803036159125,0.9095894893937556
Romania,353185,8813,239051,0.02495292835199683,0.6768435805597633
Saudi Arabia,352950,5641,339947,0.01598243377248902,0.9631590876894744
Israel,323268,2720,312573,0.008414071296880607,0.966915995397008
Canada,290359,10873,232753,0.03744674695807604,0.8016042209816124
Morocco,288211,4697,234904,0.016297087897408497,0.8150417576012019
Switzerland,257135,2960,130600,0.011511462850253758,0.5079044081902503
Portugal,211255,3305,122517,0.015644600127807627,0.5799484035880808
Nepal,208299,1215,170632,0.005832961272017628,0.8191685989851127
Austria,198291,1746,119415,0.008805240782486345,0.602220978259225
Ecuador,179627,12997,154956,0.07235549221442211,0.862654278031699
Sweden,177355,6164,,0.03475515209607849,
United Arab Emirates,147961,528,141883,0.003568507917626942,0.9589216077209535
Panama,144477,2856,123229,0.019767852322515003,0.852931608491317
Bolivia,143069,8835,116505,0.06175341967861661,0.8143273525361888
Jordan,141305,1704,,0.012059021266055694,
Kuwait,136341,835,126902,0.006124349975429255,0.9307691743496087
Qatar,135570,234,132577,0.0017260455853064837,0.9779228442870842
Dominican Republic,132554,2280,109268,0.01720053713958085,0.8243281983191756
Hungary,136723,2990,31126,0.02186903447115701,0.22765738025057963
Costa Rica,122123,1537,74868,0.012585671822670586,0.613054052062265
Oman,119442,1326,110050,0.011101622544833475,0.9213676931062775
Kazakhstan,119129,1899,108958,0.01594070293547331,0.914621964425119
Armenia,115855,1738,74105,0.015001510508825687,0.6396357515860343
Japan,114983,1880,101989,0.016350243079411738,0.8869919901202786
Guatemala,114123,3880,103685,0.03399840522944542,0.9085372799523321
Belarus,112870,1039,94337,0.009205280411092406,0.8358022503765394
Egypt,110319,6429,100847,0.058276452832241046,0.9141399033711328
Lebanon,102607,796,57693,0.007757755318837896,0.562271579911702
Ethiopia,102321,1565,63675,0.015295002980815278,0.6223062714398804
Honduras,102079,2820,44236,0.02762566247710107,0.43335064019044073
Venezuela,96140,841,91141,0.00874765966299147,0.9480029124193884
Bulgaria,94937,2055,28269,0.0216459336191369,0.2977658868512803
Moldova,88772,2006,69526,0.022597215338169694,0.7831974045870319
China,86325,4634,81303,0.053680857225600925,0.9418245004344049
Bahrain,84349,332,82038,0.003936027694459923,0.9726019277051299
Slovakia,83796,491,26439,0.00585946823237386,0.31551625375912934
Croatia,81844,1006,63748,0.012291676848638874,0.7788964371242852
Serbia,81086,989,,0.012196926719779,
Tunisia,77668,2209,52912,0.028441571818509554,0.6812586908379256
Azerbaijan,73429,946,54049,0.012883193288755123,0.7360715793487587
Georgia,73154,636,55511,0.008693988025261777,0.758823851053941
Libya,72628,995,43259,0.013699950432340144,0.5956242771382938
Bosnia and Herzegovina,70900,1857,35361,0.02619181946403385,0.4987447108603667
Paraguay,70392,1556,50514,0.02210478463461757,0.7176099556767814
Uzbekistan,69754,594,66886,0.008515640680104367,0.9588840783324254
Greece,69675,997,,0.01430929314675278,
Kenya,68193,1228,44872,0.018007713401668794,0.6580147522472981
Myanmar,68011,1552,51362,0.022819837967387627,0.7552013644851568
Ireland,67526,1978,24000,0.029292420697212926,0.35541865355566743
Algeria,65975,2124,43779,0.032194012883668056,0.6635695339143615
Kyrgyzstan,65454,1195,56307,0.018257096586916002,0.8602530021083509
Nigeria,64884,1163,60936,0.01792429566611183,0.9391529498797855
Palestine,61514,548,53367,0.008908541145105179,0.8675586045453068
Denmark,60000,756,45705,0.0126,0.76175
